date,open,high,low,close,I31000150F,I31000160F,I31000170F,I31000300F,I31000330F,turnover,I310006300,I310006400,I310001200,I310020032,I310020132,I310020232,I310020332,I310020432,I310020532,I310020632,I310020732,I310020832,net_priv_fund,I310021032,I310021132,I310021232,net_foreign,I310024132,gap,priv_fund_ratio,factor_rank,position,strategy_ret,strategy_net,equity
2025-07-17,2970.17,3020.91,2897.27,2966.72,0.23,8.6,29.19,2961.27,2882.19,20645567958119,1257072829,1322666666,28.7516443264071,146971,219899,13315,-5557,156,-1111,-22095,126322,-245030,-29882,1618,-28263,118708,-57636,-40992,0.003429030884926484,-1.6044655646547604e-09,0.43333333333333335,0.0,0.0,0.0,0.9064044296427008
2025-07-18,2975.43,3016.11,2920.7,2964.13,-0.09,7.58,28.19,2966.75,2890.44,17469230331744,1231751316,1310291347,28.7255712931036,58919,255095,6830,-20099,-4346,6348,-103874,112057,-433802,265337,-2510,262827,321746,-81035,-40992,0.0029359022759141533,1.4521493857045111e-08,0.6,0.0,0.0,0.0,0.9064044296427008
2025-07-21,2962.1,3022.26,2931.22,2983.29,0.65,6.58,28.83,2971.23,2900.09,15512952418562,1195284197,1290168866,28.8227269174573,101351,105130,-17216,18740,52,998,-23871,55137,-1026379,871629,-1737,869892,971243,17518,-40992,-0.0006848552526374349,4.855188303973826e-08,0.9166666666666666,0.0,-0.0,-0.0,0.9064044296427008
2025-07-22,2986.37,3020.76,2912.2,2941.18,-1.41,5.08,27.15,2963.07,2903.46,16831656908172,1180634523,1268107155,28.7568114847243,-539917,-56474,-12301,-112926,-8310,1472,-71454,56345,640791,-156906,-311,-157217,-697134,-279925,-40992,0.0010324172306413145,-8.891375221478174e-09,0.25,-1.0,-0.0010324172306413145,-0.0025324172306413146,0.904109035447144
2025-07-23,2960.94,2996.59,2896.74,2952.86,0.4,5.83,25.72,2961.64,2907.06,16394131452193,1207675477,1256953305,28.7769745863546,106942,357356,21145,-72021,-5530,4529,-137750,36972,-534220,390166,141,390307,497248,-60789,-40992,0.006718391937929749,2.2461145750835758e-08,0.7833333333333333,0.0,0.0,0.0,0.904109035447144
2025-07-24,2971.65,3020.67,2918.58,2949.91,-0.1,2.65,25.68,2958.27,2911.96,18656956912918,1193238726,1250929572,28.7465107673204,101111,69903,-8026,34647,-8502,-19078,-34386,72360,-961368,792101,-4205,787897,889008,66554,-40992,0.006363322338343153,4.6668336287272176e-08,0.9166666666666666,0.0,0.0,0.0,0.904109035447144
2025-07-25,2944.86,3002.14,2907.71,2952.43,0.09,2.49,24.75,2955.93,2917.99,14242009929921,1163974618,1240321874,28.7974636791684,2837,-17374,17318,28128,-1928,-9108,20190,67841,-462746,390565,1504,392069,394906,-34389,-40992,-0.0017119166347446964,2.3920625123963473e-08,0.7666666666666667,-1.0,0.0017119166347446964,0.0002119166347446964,0.9043006311913783
2025-07-28,2976.2,3026.37,2903.54,2962.85,0.35,4.63,25.42,2951.85,2924.03,18458352983005,1176489025,1240187396,28.8740342996456,425205,502250,-10857,39076,5135,-6919,-74164,52599,-921622,448785,-4968,443817,869022,-29317,-40992,0.00805099528185257,2.6529233178095298e-08,0.7833333333333333,0.0,0.0,0.0,0.9043006311913783
2025-07-29,2950.95,3005.97,2899.25,2977.23,0.49,5.14,25.19,2959.06,2930.16,17094415990761,1140009463,1212744569,28.8829285399371,102629,122489,11480,-40508,-1643,3663,-10395,101343,-786823,582162,689,582851,685480,17543,-40992,-0.0040164031253691855,3.430703337356831e-08,0.8333333333333334,0.0,-0.0,-0.0,0.9043006311913783
2025-07-30,2976.45,3049.63,2942.09,2998.24,0.71,5.5,26.48,2968.13,2937.88,17625405963674,1054890659,1193715525,29.0055242041978,299691,310979,-34696,-15966,-3425,-6415,-12529,36093,-890914,556282,-1151,555130,854820,61742,-40992,-0.0002619884926593512,3.231299207285301e-08,0.8,0.0,-0.0,-0.0,0.9043006311913783
2025-07-31,3020.19,3070.83,2941.34,2992.51,-0.19,5.3,26.24,2976.65,2943.17,20895474165524,1069259965,1192051851,29.0273267422712,-702297,-388884,-19183,-107729,2296,-3865,-129582,125550,189953,385575,1222,386796,-315502,-55351,-40992,0.007320961630823508,2.182936776004968e-08,0.7,0.0,0.0,0.0,0.9043006311913783
2025-08-01,2951.15,2985.42,2849.79,2871.83,-4.03,0.6,21.15,2960.53,2945.3,18146174031332,1118015807,1195552783,28.9366783466335,-1220633,-427497,-7587,-323634,-28482,-75,-68654,92898,1862809,-737244,2171,-735073,-1955706,-364703,-40992,-0.013821173529913057,-3.9972100083426824e-08,0.05,0.0,-0.0,-0.0,0.9043006311913783
2025-08-04,2869.25,2936.0,2837.79,2902.87,1.08,2.6,22.27,2948.54,2948.74,13458247071378,1081250605,1193460608,28.9094270872899,210096,151583,-24581,67490,-39587,280,31831,71481,-326330,45720,-967,44754,254849,23080,-40992,-0.000898381868007482,2.620966993236081e-09,0.4,1.0,-0.000898381868007482,-0.002398381868007482,0.9021317729543011
2025-08-05,2942.02,2996.51,2903.23,2949.01,1.59,4.24,24.21,2942.89,2951.94,15412598071233,1080049874,1165825778,28.8879758359345,114243,-61015,15813,72254,-8172,-6217,30773,76618,-556864,370659,-4655,366004,480247,70806,-40992,0.013486652864234392,2.16663609358939e-08,0.6833333333333333,0.0,0.0,0.0,0.9021317729543011
2025-08-06,2933.12,2983.77,2897.53,2949.2,0.01,4.24,24.22,2933.08,2954.58,15179556439593,1057964118,1147647769,28.8065553664069,-298298,92311,-4221,-74432,-9155,-32256,10108,71724,-47291,275525,-1659,273866,-24432,-280653,-40992,-0.00538824893777923,1.6579504340825333e-08,0.5666666666666667,0.0,-0.0,-0.0,0.9021317729543011
2025-08-07,2973.74,3011.73,2920.37,2976.07,0.91,5.01,24.58,2929.8,2956.5,15434127755601,1007877878,1131862349,28.8940766217061,104991,113266,2306,-58563,-3681,-13273,43860,113395,-142040,-74699,-1648,-76346,28645,21076,-40992,0.008320900583208994,-4.8111762973989405e-09,0.26666666666666666,0.0,0.0,0.0,0.9021317729543011
2025-08-08,2977.6,3021.03,2927.05,2967.33,-0.29,2.85,23.97,2948.9,2958.03,16110547049354,984999595,1124685334,28.9009083693983,-63798,183776,-9736,-63625,-8054,-9062,-69152,75708,115968,-128650,772,-127877,-191675,-87945,-40992,0.0005141008108007357,-8.509152060454377e-09,0.23333333333333334,0.0,0.0,0.0,0.9021317729543011
2025-08-11,2976.18,3015.09,2928.11,2966.53,-0.03,1.01,24.1,2961.63,2958.31,15277422440554,1016517301,1117385282,28.9282165858911,-173228,39448,-37191,-47594,-5554,-5284,-78133,133922,-239146,282001,-3547,278453,105224,-38919,-40992,0.0029824791984713224,1.8213765140274908e-08,0.6,0.0,0.0,0.0,0.9021317729543011
2025-08-12,2967.53,3030.76,2933.6,2953.49,-0.44,0.57,21.88,2962.52,2956.89,15707563089390,1109626665,1127580131,29.0143247516505,-102272,-7414,-21625,-15847,-7812,5431,10413,82122,95436,-74190,-1096,-75287,-177559,-65419,-40992,0.0003370941807431578,-4.773565033816736e-09,0.2833333333333333,0.0,0.0,0.0,0.9021317729543011
2025-08-13,2986.79,3021.11,2934.02,2987.41,1.15,1.73,22.99,2970.17,2958.25,15723811450492,1169750459,1122570178,29.0892884793622,-48968,3270,-2474,-3970,-17224,2120,-21481,91381,-660955,620227,-1685,618542,569573,-9210,-40992,0.011274796935151358,3.962935994079365e-08,0.8833333333333333,0.0,0.0,0.0,0.9021317729543011
2025-08-14,2992.56,3027.24,2946.4,2985.68,-0.06,0.84,21.41,2972.09,2959.2,14789491279994,1213550656,1120981806,29.0347273693361,27989,149996,2984,-5240,-27958,3210,-81451,104472,-105118,-27319,-25,-27343,647,-13551,-40992,0.0017239013058134274,-1.760044451830341e-09,0.35,0.0,0.0,0.0,0.9021317729543011
2025-08-15,2992.56,3027.24,2946.4,2985.68,-0.06,0.84,21.41,2972.09,2959.2,14789491279994,1213550656,1120981806,29.0347273693361,27989,149996,2984,-5240,-27958,3210,-81451,104472,-105118,-27319,-25,-27343,647,-13551,-40992,0.0023043326813322624,-1.7905226868953487e-09,0.3333333333333333,0.0,0.0,0.0,0.9021317729543011
2025-08-18,2970.24,2998.38,2913.42,2935.63,-1.68,-0.96,20.09,2965.75,2957.78,12719884983507,1178430989,1111355252,28.918939828263,-31867,112636,-27146,-41613,-12067,336,30246,40843,496201,-508838,3661,-505176,-537045,-94260,-40992,-0.005171351249966525,-3.450673601644942e-08,0.06666666666666667,0.0,-0.0,-0.0,0.9021317729543011
2025-08-19,2945.27,2971.11,2879.4,2911.12,-0.83,-1.79,20.47,2954.67,2954.17,13230096624564,1166662430,1110229840,28.9920768356783,216019,311239,-15596,-26070,-6470,-5747,-22261,82947,113901,-412599,-268,-412868,-196848,-19076,-40992,0.0032837925760398523,-2.8953187887643348e-08,0.1,1.0,0.0032837925760398523,0.0017837925760398523,0.9037409889135066
2025-08-20,2880.67,2919.45,2820.86,2889.87,-0.73,-2.51,19.39,2941.94,2951.6,15855587789541,1110515318,1110050330,29.020260251653,451463,667291,-1372,-60525,-9648,1030,-84930,104770,-271770,-279288,-5175,-284462,167001,-60383,-40992,-0.010459891725521387,-1.9562215657379735e-08,0.15,0.0,-0.0,-0.0,0.9037409889135066
2025-08-21,2899.6,2949.33,2864.71,2894.65,0.17,-2.97,18.66,2923.39,2948.69,14691912231489,1078028505,1090158435,28.9030653363564,110329,-90920,20762,60680,-3408,3918,14410,100298,-94842,-118493,2709,-115784,-5455,104888,-40992,0.003366933460674708,-8.310985525441096e-09,0.2833333333333333,0.0,0.0,0.0,0.9037409889135066
2025-08-22,2912.88,2963.1,2882.32,2920.95,0.91,-0.69,21.16,2910.44,2947.25,12420960906308,1026521721,1079302555,28.9434616736624,143871,48297,-8006,94683,-4728,-13919,-1254,92716,-500653,263851,214,264065,407937,28797,-40992,0.006297825298395321,1.9142263688303626e-08,0.6333333333333333,0.0,0.0,0.0,0.9037409889135066
2025-08-25,2950.4,2987.08,2914.29,2960.82,1.36,0.28,22.7,2915.48,2947.66,12413542415008,1017986109,1074858125,28.9231256841001,250463,78279,-13713,82513,-8330,-1844,49428,76314,-685493,355145,3571,358717,609179,64130,-40992,0.010082336226227862,2.588063914173142e-08,0.75,0.0,0.0,0.0,0.9037409889135066
2025-08-26,2950.0,2987.43,2906.93,2938.56,-0.75,-0.47,19.61,2920.97,2946.45,17382917357424,1013935429,1069591441,28.8668813106016,-301306,-286179,-6885,6158,-5795,-5727,-7561,73098,734520,-507821,1508,-506312,-807618,4684,-40992,-0.003654393039766066,-3.489463020892189e-08,0.05,0.0,-0.0,-0.0,0.9037409889135066
2025-08-27,2944.0,2979.35,2903.0,2943.58,0.17,-0.3,20,2931.71,2944.77,13295623970948,988197504,1072097340,28.855139955005,18380,-84741,7579,31025,3308,-3417,16947,92882,179175,-292367,1930,-290437,-272056,47679,-40992,0.0018512468692148721,-2.0822390112341766e-08,0.15,1.0,0.0018512468692148721,0.0003512468692148721,0.9040584251064436
2025-08-28,2930.5,2993.41,2897.35,2950.99,0.25,-0.4,18.91,2942.98,2942.41,13966338071651,977468951,1070803008,28.9039246572809,307762,189286,-11145,23479,-8814,-1874,41715,77123,-311429,-74236,779,-73457,234306,75116,-40992,-0.00444356871564555,-5.342304226977545e-09,0.3333333333333333,0.0,-0.0,-0.0,0.9040584251064436
2025-08-29,2963.94,2996.48,2918.2,2942.57,-0.29,-1.16,16.52,2947.3,2939.91,13644635008548,979828410,1056944666,28.9112856233297,102401,159715,-8667,-40354,-5103,-3419,-21577,52132,248668,-404212,1013,-403199,-300798,21809,-40992,0.004388357805346773,-2.858518557469201e-08,0.11666666666666667,0.0,0.0,0.0,0.9040584251064436
2025-09-01,2922.92,2956.7,2871.73,2898.08,-1.51,0.91,15.69,2934.76,2941.22,13814360141747,1009549743,1047741609,28.8133984450677,-194250,-11881,-18285,-80162,899,-3275,19053,96787,438244,-338496,-2286,-340781,-535032,-100599,-40992,-0.00667783604128367,-2.3472802405630722e-08,0.16666666666666666,0.0,-0.0,-0.0,0.9040584251064436
2025-09-02,2906.64,2960.36,2876.94,2929.78,1.09,2.02,16.77,2933,2942.57,14943698868054,1018785843,1053975251,28.8866183962724,-108352,-121768,-9934,26874,-2936,-1588,19394,70106,-418970,459616,-2400,457216,348864,-18395,-40992,0.0029536796775796203,3.2987746296909336e-08,0.9,0.0,0.0,0.0,0.9040584251064436
2025-09-03,2929.46,2975.46,2900.01,2944.25,0.49,2.52,17.34,2933.13,2942.33,14123036611821,1028582085,1059230393,28.9343843158387,-376724,-270363,-2906,-1847,2031,-679,-60381,76544,-130036,431597,-1380,430217,53493,-42577,-40992,-0.00010922321812564891,3.061316031351274e-08,0.8666666666666667,0.0,-0.0,-0.0,0.9040584251064436
2025-09-04,2945.69,2993.62,2920.7,2960.72,0.56,1.99,15.08,2935.08,2942.9,13746063524610,1038087034,1065833737,28.8790487799262,13184,-13819,-31530,30412,6415,1556,2247,84411,-387538,291146,-1202,289945,303129,17901,-40992,0.0004890889020973269,2.071570845044347e-08,0.7166666666666667,0.0,0.0,0.0,0.9040584251064436
2025-09-05,2972.78,3006.57,2936.56,2968.64,0.27,0.67,13.67,2940.29,2942.53,16565321147115,1041348462,1065312312,28.8655660837445,145174,157897,-17451,-9898,3782,-18439,5606,58930,-110119,-93235,-751,-93986,51189,23675,-40992,0.004073333513469832,-6.369165222050468e-09,0.36666666666666664,0.0,0.0,0.0,0.9040584251064436
2025-09-08,2979.66,3013.71,2942.98,2984.69,0.54,0.59,14.28,2957.62,2943.4,13813233378596,1022787335,1057188544,28.874174156884,128050,101444,-4924,22866,824,867,1278,59531,-385234,199203,-1551,197652,325702,5696,-40992,0.0037121375444647995,1.360836973166621e-08,0.5833333333333334,0.0,0.0,0.0,0.9040584251064436
